molecule,pred_bde,pred_bdfe,bond_index
CC(COC)O,106.297615,97.69154,14
CCCCCC,89.167366,75.608795,0
CCCCCC,87.434654,72.88874,1
CCCCCC,87.785866,73.37772,2
CCCCCC,87.434654,72.88874,3
CCCCCC,89.167366,75.608795,4
CCCCCC,100.08565,91.13446,5
CCCCCC,100.08565,91.13446,6
CCCCCC,100.08565,91.13446,7
CCCCCC,97.01324,87.649025,8
CCCCCC,97.01324,87.649025,9
CCCCCC,97.23115,87.76833,10
CCCCCC,97.23115,87.76833,11
CCCCCC,97.23115,87.76833,12
CCCCCC,97.23115,87.76833,13
CCCCCC,97.01324,87.649025,14
CCCCCC,97.01324,87.649025,15
CCCCCC,100.08565,91.13446,16
CCCCCC,100.08565,91.13446,17
CCCCCC,100.08565,91.13446,18
CCC(C)(C)O,89.6341,75.93393,0
CCC(C)(C)O,83.382515,68.11197,1
CCC(C)(C)O,85.53127,71.42126,2
CCC(C)(C)O,85.53127,71.42126,3
CCC(C)(C)O,96.922485,83.954956,4
CCC(C)(C)O,98.90219,89.97027,5
CCC(C)(C)O,98.90219,89.97027,6
CCC(C)(C)O,98.90219,89.97027,7
CCC(C)(C)O,97.113365,88.110825,8
CCC(C)(C)O,97.113365,88.110825,9
CCC(C)(C)O,100.84849,91.9902,10
CCC(C)(C)O,100.84849,91.9902,11
CCC(C)(C)O,100.84849,91.9902,12
CCC(C)(C)O,100.84849,91.9902,13
CCC(C)(C)O,100.84849,91.9902,14
CCC(C)(C)O,100.84849,91.9902,15
CCC(C)(C)O,104.30952,95.92711,16
CC1(COC1)C,90.18644,76.03842,0
CC1(COC1)C,87.086136,73.42411,1
CC1(COC1)C,88.53149,76.60267,2
CC1(COC1)C,88.53149,76.60267,3
CC1(COC1)C,90.18644,76.03842,4
CC1(COC1)C,87.086136,73.42411,5
CC1(COC1)C,100.383354,91.46728,6
CC1(COC1)C,100.383354,91.46728,7
CC1(COC1)C,100.383354,91.46728,8
CC1(COC1)C,94.71972,86.353775,9
CC1(COC1)C,94.71972,86.353775,10
CC1(COC1)C,94.71972,86.353775,11
CC1(COC1)C,94.71972,86.353775,12
CC1(COC1)C,100.383354,91.46728,13
CC1(COC1)C,100.383354,91.46728,14
CC1(COC1)C,100.383354,91.46728,15
C1CCCCC1,87.82388,75.464226,0
C1CCCCC1,87.82388,75.464226,1
C1CCCCC1,87.82388,75.464226,2
C1CCCCC1,87.82388,75.464226,3
C1CCCCC1,87.82388,75.464226,4
C1CCCCC1,87.82388,75.464226,5
C1CCCCC1,94.99067,86.067085,6
C1CCCCC1,94.99067,86.067085,7
C1CCCCC1,94.99067,86.067085,8
C1CCCCC1,94.99067,86.067085,9
C1CCCCC1,94.99067,86.067085,10
C1CCCCC1,94.99067,86.067085,11
C1CCCCC1,94.99067,86.067085,12
C1CCCCC1,94.99067,86.067085,13
C1CCCCC1,94.99067,86.067085,14
C1CCCCC1,94.99067,86.067085,15
C1CCCCC1,94.99067,86.067085,16
C1CCCCC1,94.99067,86.067085,17
CCC(C)OC,90.082436,76.3991,0
CCC(C)OC,84.04426,69.22511,1
CCC(C)OC,85.56334,71.70578,2
CCC(C)OC,85.52601,71.12961,3
CCC(C)OC,84.19069,71.506386,4
CCC(C)OC,99.502846,90.62328,5
CCC(C)OC,99.502846,90.62328,6
CCC(C)OC,99.502846,90.62328,7
CCC(C)OC,98.087875,88.636894,8
CCC(C)OC,98.087875,88.636894,9
CCC(C)OC,93.26714,84.59049,10
CCC(C)OC,100.85415,92.02987,11
CCC(C)OC,100.85415,92.02987,12
CCC(C)OC,100.85415,92.02987,13
CCC(C)OC,94.525154,86.01363,14
CCC(C)OC,94.525154,86.01363,15
CCC(C)OC,94.525154,86.01363,16
CCCCCO,89.25522,75.680115,0
CCCCCO,86.3588,72.34947,1
CCCCCO,88.033066,74.15333,2
CCCCCO,85.55305,71.85419,3
CCCCCO,94.98159,83.39358,4
CCCCCO,100.08565,91.13446,5
CCCCCO,100.08565,91.13446,6
CCCCCO,100.08565,91.13446,7
CCCCCO,96.955864,87.577705,8
CCCCCO,96.955864,87.577705,9
CCCCCO,95.682304,86.932594,10
CCCCCO,95.682304,86.932594,11
CCCCCO,97.19105,88.22912,12
CCCCCO,97.19105,88.22912,13
CCCCCO,93.00739,84.57661,14
