molecule,match
CCCCCCCCC(C)(C)c1ccc2ccccc2c1,False
CCCCCCCCC(C)=CCCCCCCC,False
CCCCCCCCC(C)C(C)CCCCCCCC,False
CCCCCCCCC(C)CCCCCCCC,True
CCCCCCCCC(CCC)C(CCC)CCCCCCCC,True
CCCCCCCCC(CCC)C1=CC=CC=C1,True
CCCCCCCCC(CCCCCC)CCCCCC,True
CCCCCCCCC(CCCCCCC)CCCCCCCC,True
CCCCCCCCC1=CC=CC=C1,False
CCCCCCCCC1CCCC2CCCCC12,True
CCCCCCCCC1CCCc2ccccc21,False
CCCCCCCCC1CCc2ccccc2C1CCCCCCCC,False
CCCCCCCCC=C,False
CCCCCCCCC=CCCCCCCCC(=O)O,False
CCCCCCCCC=CCCCCCCCC(=O)OC,False
CCCCCCCCC=CCCCCCCCC(=O)OC(C)C,False
CCCCCCCCC=CCCCCCCCC(=O)OCC,False
CCCCCCCCC=CCCCCCCCC(=O)OCC(C)C,False
CCCCCCCCC=CCCCCCCCC(=O)OCC(CC)CCCC,False
CCCCCCCCC=CCCCCCCCC(=O)OCCC,False
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,False
CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC,False
CCCCCCCCC=CCCCCCCCC(=O)OCCCCCCCC,False
CCCCCCCCC=CCCCCCCCCCC(=O)OC,False
CCCCCCCCC=CCCCCCCCCCCCC(=O)OC,False
CCCCCCCCC=CCCCCCCCCO,False
CCCCCCCCCC,False
CCCCCCCCCC(=O)O,False
CCCCCCCCCC(=O)OC,False
CCCCCCCCCC(=O)OC(C)C,False
CCCCCCCCCC(=O)OCC,True
CCCCCCCCCC(=O)OCCC,False
CCCCCCCCCC(=O)OCCCC,False
CCCCCCCCCC(=O)OCCCCCC,False
CCCCCCCCCC(C)C=CC(C)CCCCCCCCC,False
CCCCCCCCCC(C)CCC(C)CCCCCCCCC,True
CCCCCCCCCC(C)c1ccccc1,True
CCCCCCCCCC(CCCC)(CCCC)c1ccccc1,True
CCCCCCCCCC1=CC=CC=C1,False
CCCCCCCCCC=C,False
CCCCCCCCCC=CC=CC=CC=CC=CC=CC(=O)OC,False
CCCCCCCCCCC,False
CCCCCCCCCCC/C=C\CCCCC(=O)OC,False
CCCCCCCCCCC=C,False
CCCCCCCCCCCC,False
CCCCCCCCCCCC(=O)OC,True
CCCCCCCCCCCC(=O)OC=C,False
CCCCCCCCCCCC(=O)OCC,False
CCCCCCCCCCCC(=O)OCCC,False
CCCCCCCCCCCC(=O)OCCCC,False
CCCCCCCCCCCC(=O)OCCCCCC,False
CCCCCCCCCCCC(=O)OCCCCCCCC,False
CCCCCCCCCCCC(=O)OCCCCCCCCCC,True
CCCCCCCCCCCC=CCCCCC(=O)OC,False
CCCCCCCCCCCCC,False
CCCCCCCCCCCCC(C)C1=CC=CC=C1,True
CCCCCCCCCCCCC1=CC=CC=C1,False
CCCCCCCCCCCCC1CCCC(C)C1,False
CCCCCCCCCCCCC=C,False
CCCCCCCCCCCCCC,False
CCCCCCCCCCCCCC(=O)OC,False
CCCCCCCCCCCCCC(=O)OCC,False
CCCCCCCCCCCCCC(=O)OCCC,False
CCCCCCCCCCCCCC(=O)OCCCC,False
CCCCCCCCCCCCCC(=O)OCCCCCC,False
CCCCCCCCCCCCCC(=O)OCCCCCCCC,True
CCCCCCCCCCCCCC(=O)OCCCCCCCCCC,False
CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC,False
CCCCCCCCCCCCCC(C)(C)C1CCCCC1,True
CCCCCCCCCCCCCC(C)(C)c1ccccc1,True
CCCCCCCCCCCCCCC,False
CCCCCCCCCCCCCCC1=CC=CC=C1,False
CCCCCCCCCCCCCCC1CCCCC1,True
CCCCCCCCCCCCCCC=C,False
CCCCCCCCCCCCCCCC,False
CCCCCCCCCCCCCCCC(=O)OC,False
CCCCCCCCCCCCCCCC(=O)OC(C)C,True
CCCCCCCCCCCCCCCC(=O)OC(C)CC,True
CCCCCCCCCCCCCCCC(=O)OC.CCCCCCCCCCCCCCCC(=O)OC,True
CCCCCCCCCCCCCCCC(=O)OCC,False
CCCCCCCCCCCCCCCC(=O)OCC(C)C,False
CCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,False
CCCCCCCCCCCCCCCC(=O)OCCC,False
CCCCCCCCCCCCCCCC(=O)OCCCC,False
CCCCCCCCCCCCCCCC(=O)OCCCCCC,False
CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCC,False
CCCCCCCCCCCCCCCC(C)(C)c1ccccc1,True
CCCCCCCCCCCCCCCC(C)C,True
CCCCCCCCCCCCCCCC(CCCC)C1CCCCC1,True
CCCCCCCCCCCCCCCC(CCCC)c1ccccc1,False
CCCCCCCCCCCCCCCCC,False
CCCCCCCCCCCCCCCCC(C)C,True
CCCCCCCCCCCCCCCCC1CC(C)C(C)CC1C,True
CCCCCCCCCCCCCCCCC=C,False
CCCCCCCCCCCCCCCCCC,False
CCCCCCCCCCCCCCCCCC(=O)O,False
CCCCCCCCCCCCCCCCCC(=O)O.CCCCCCCCCCCCCCCCCC(=O)O,True
CCCCCCCCCCCCCCCCCC(=O)OC,False
CCCCCCCCCCCCCCCCCC(=O)OC(C)C,True
CCCCCCCCCCCCCCCCCC(=O)OC(C)CC,True
CCCCCCCCCCCCCCCCCC(=O)OC.CCCCCCCCCCCCCCCCCC(=O)OC,False
CCCCCCCCCCCCCCCCCC(=O)OCC,False
CCCCCCCCCCCCCCCCCC(=O)OCC(C)C,False
CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,True
CCCCCCCCCCCCCCCCCC(=O)OCCC,False
CCCCCCCCCCCCCCCCCC(=O)OCCCC,True
